,year,month,temperature
77791,1888,10,26.207
77792,1888,11,25.899
77793,1888,12,25.568
77794,1889,1,25.483
77795,1889,2,25.868
77796,1889,3,25.728
77797,1889,4,25.054
77798,1889,5,24.296
77799,1889,6,22.464
77800,1889,7,23.257
77801,1889,8,23.594
77802,1889,9,24.317
77803,1889,10,25.057
77804,1889,11,25.018
77805,1889,12,25.532
77806,1890,1,24.461
77807,1890,2,24.651
77808,1890,3,24.487
77809,1890,4,23.761
77810,1890,5,23.046
77811,1890,6,22.164
77812,1890,7,23.048
77813,1890,8,23.521
77814,1890,9,24.92
77815,1890,10,25.086
77816,1890,11,24.873
77817,1890,12,24.948
77818,1891,1,24.341
77819,1891,2,24.541
77820,1891,3,24.747
77821,1891,4,24.192
77822,1891,5,23.52
77823,1891,6,23.06
77824,1891,7,22.776
77825,1891,8,23.824
77826,1891,9,24.934
77827,1891,10,25.16
77828,1891,11,25.092
77829,1891,12,24.982
77830,1892,1,25.146
77831,1892,2,25.10100000000001
77832,1892,3,24.899
77833,1892,4,24.1
77834,1892,5,23.129
77835,1892,6,22.688
77836,1892,7,22.367
77837,1892,8,23.5
77838,1892,9,24.665
77839,1892,10,25.064
77840,1892,11,24.668000000000003
77841,1892,12,24.478
77842,1893,1,24.087000000000003
77843,1893,2,23.874
77844,1893,3,24.494
77845,1893,4,23.97
77846,1893,5,23.182
77847,1893,6,22.398000000000003
77848,1893,7,22.955
77849,1893,8,23.275
77850,1893,9,24.145
77851,1893,10,24.834
77852,1893,11,24.653
77853,1893,12,25.06
77854,1894,1,25.198
77855,1894,2,25.238000000000003
77856,1894,3,24.953000000000003
77857,1894,4,23.923
77858,1894,5,23.536
77859,1894,6,21.91
77860,1894,7,22.613000000000003
77861,1894,8,23.825
77862,1894,9,24.908
77863,1894,10,25.618
77864,1894,11,25.274
77865,1894,12,24.997
77866,1895,1,24.699
77867,1895,2,24.446
77868,1895,3,24.951
77869,1895,4,24.619
77870,1895,5,23.74
77871,1895,6,22.995
77872,1895,7,22.949
77873,1895,8,24.333
77874,1895,9,24.83
77875,1895,10,25.31600000000001
77876,1895,11,25.104
77877,1895,12,25.626
77878,1896,1,24.832
77879,1896,2,25.172
77880,1896,3,24.682
77881,1896,4,23.931
77882,1896,5,23.531
77883,1896,6,22.81900000000001
77884,1896,7,23.225
77885,1896,8,24.516
77886,1896,9,25.535
77887,1896,10,25.539
77888,1896,11,25.584
77889,1896,12,25.685
77890,1897,1,25.22600000000001
77891,1897,2,24.987
77892,1897,3,25.016
77893,1897,4,25.071
77894,1897,5,24.391
77895,1897,6,22.591
77896,1897,7,22.197
77897,1897,8,23.73
77898,1897,9,24.457
77899,1897,10,25.478
77900,1897,11,24.92
77901,1897,12,25.549
77902,1898,1,25.665000000000006
77903,1898,2,25.135
77904,1898,3,24.75
77905,1898,4,24.418000000000003
77906,1898,5,23.446
77907,1898,6,23.369
77908,1898,7,23.074
77909,1898,8,23.748
77910,1898,9,24.347
77911,1898,10,24.742
77912,1898,11,25.027
77913,1898,12,24.666
77914,1899,1,25.004
77915,1899,2,24.313
77916,1899,3,24.756
77917,1899,4,24.625
77918,1899,5,24.054
77919,1899,6,22.288
77920,1899,7,22.932
77921,1899,8,24.492
77922,1899,9,24.894
77923,1899,10,25.16
77924,1899,11,25.714
77925,1899,12,25.133000000000003
77926,1900,1,25.086
77927,1900,2,25.259
77928,1900,3,25.835
77929,1900,4,24.602
77930,1900,5,24.393
77931,1900,6,23.518
77932,1900,7,23.81
77933,1900,8,24.313
77934,1900,9,25.297
77935,1900,10,25.799
77936,1900,11,25.54
77937,1900,12,25.406
77938,1901,1,25.144
77939,1901,2,25.44100000000001
77940,1901,3,25.209
77941,1901,4,24.345
77942,1901,5,23.815
77943,1901,6,23.407
77944,1901,7,24.01
77945,1901,8,24.82
77946,1901,9,25.632
77947,1901,10,25.78
77948,1901,11,25.216
77949,1901,12,24.512
77950,1902,1,24.934
77951,1902,2,24.993
77952,1902,3,24.656
77953,1902,4,24.398000000000003
77954,1902,5,24.412
77955,1902,6,24.003
77956,1902,7,23.761
77957,1902,8,23.661
77958,1902,9,25.379
77959,1902,10,25.173
77960,1902,11,25.698
77961,1902,12,25.462
77962,1903,1,25.198
77963,1903,2,25.491000000000003
77964,1903,3,25.367
77965,1903,4,24.399
77966,1903,5,23.597
77967,1903,6,23.618
77968,1903,7,23.312
77969,1903,8,24.001
77970,1903,9,24.854
77971,1903,10,25.021
77972,1903,11,25.04
77973,1903,12,24.997
77974,1904,1,24.526
77975,1904,2,24.540000000000006
77976,1904,3,24.574
77977,1904,4,24.008000000000003
77978,1904,5,23.024
77979,1904,6,22.472
77980,1904,7,22.774
77981,1904,8,23.415
77982,1904,9,24.466
77983,1904,10,24.454
77984,1904,11,24.959
77985,1904,12,24.734
77986,1905,1,24.733
77987,1905,2,24.708
77988,1905,3,24.636
77989,1905,4,24.237
77990,1905,5,24.675
77991,1905,6,23.931
77992,1905,7,23.422
77993,1905,8,24.235
77994,1905,9,25.159
77995,1905,10,26.087
77996,1905,11,25.76
77997,1905,12,25.293000000000003
77998,1906,1,24.875
77999,1906,2,24.867
78000,1906,3,24.765
78001,1906,4,24.31
78002,1906,5,24.229
78003,1906,6,22.868
78004,1906,7,23.188
78005,1906,8,24.294
78006,1906,9,24.757
78007,1906,10,25.308000000000003
78008,1906,11,25.53
78009,1906,12,25.198
78010,1907,1,24.786
78011,1907,2,24.805000000000003
78012,1907,3,25.052
78013,1907,4,24.349
78014,1907,5,23.466
78015,1907,6,23.135
78016,1907,7,22.238000000000003
78017,1907,8,23.455
78018,1907,9,25.236
78019,1907,10,25.19400000000001
78020,1907,11,25.297
78021,1907,12,25.075
78022,1908,1,25.158
78023,1908,2,25.215
78024,1908,3,24.887
78025,1908,4,24.548
78026,1908,5,23.784
78027,1908,6,23.294
78028,1908,7,23.547
78029,1908,8,23.317
78030,1908,9,25.387
78031,1908,10,24.71
78032,1908,11,24.926
78033,1908,12,25.448
78034,1909,1,25.128
78035,1909,2,25.31
78036,1909,3,24.989
78037,1909,4,24.433000000000003
78038,1909,5,22.935
78039,1909,6,23.076
78040,1909,7,22.903
